date,open,high,low,close,volume,return_1d,vol_5d,sma_5,sma_20,sent_count,sent_mean,sent_median,sent_std,sent_pos_share,sent_neg_share
2025-08-16,118405.59579823953,118405.59579823953,117339.79190213277,117339.79190213277,44268714220.021,-0.009001296677927928,0.026076647615426142,119656.5431599574,117064.9043733831,0,0.0,0.0,0.0,0.0,0.0
2025-08-17,117339.79190213277,117501.21653394958,117339.79190213277,117501.21653394958,23202714236.542347,0.0013757023870593077,0.026131930761240995,119402.02654502532,116969.01949750986,0,0.0,0.0,0.0,0.0,0.0
2025-08-18,117501.21653394958,117542.83687778088,117501.21653394958,117542.83687778088,20906566026.645443,0.0003542120248538616,0.025079245491837824,118870.08694957515,116945.99624059498,0,0.0,0.0,0.0,0.0,0.0
2025-08-19,117542.83687778088,117542.83687778088,116256.41276740946,116256.41276740946,47337926940.98573,-0.010944300346511282,0.0175009196280615,117409.17077590243,116866.15143253354,0,0.0,0.0,0.0,0.0,0.0
2025-08-20,116256.41276740946,116256.41276740946,112778.34483555844,112778.34483555844,46156885037.403885,-0.029917213588978364,0.012594677494428249,116283.72058336623,116613.40663031352,0,0.0,0.0,0.0,0.0,0.0
2025-08-21,112778.34483555844,114252.39755195397,112778.34483555844,114252.39755195397,42166369117.006935,0.01307035245591548,0.016215978198963473,115666.24171333046,116541.02638595333,0,0.0,0.0,0.0,0.0,0.0
2025-08-22,114252.39755195397,114252.39755195397,112414.39987336512,112414.39987336512,32048202090.65466,-0.016087169442138394,0.016322562559185527,114648.87838121357,116500.01612290565,0,0.0,0.0,0.0,0.0,0.0
2025-08-23,112414.39987336512,116834.24948202295,112414.39987336512,116834.24948202295,50878158870.82928,0.03931746834601957,0.027322845462353054,114507.160902062,116713.98348089591,0,0.0,0.0,0.0,0.0,0.0
2025-08-24,116834.24948202295,116834.24948202295,115359.98346714744,115359.98346714744,27306719885.257973,-0.012618440409482456,0.027486287976178057,114327.87504200959,116772.02717102291,0,0.0,0.0,0.0,0.0,0.0
2025-08-25,115359.98346714744,115359.98346714744,113399.54847314971,113399.54847314971,40682656776.69001,-0.016994064450052804,0.02456914454809424,114452.11576952782,116685.0702881453,0,0.0,0.0,0.0,0.0,0.0
2025-08-26,113399.54847314971,113399.54847314971,110185.35443900425,110185.35443900425,52854872363.936554,-0.02834397559269386,0.02652773557106785,113638.70714693789,116487.92030565468,0,0.0,0.0,0.0,0.0,0.0
2025-08-27,110185.35443900425,111842.70999260596,110185.35443900425,111842.70999260596,43023800053.0546,0.01504152309569573,0.02748147815366688,113524.36917078607,116328.95101686954,0,0.0,0.0,0.0,0.0,0.0
2025-08-28,111842.70999260596,111842.70999260596,111216.08479629169,111216.08479629169,36957904262.995804,-0.005602736167209299,0.01611093549366683,112400.73623363981,116016.58153114149,0,0.0,0.0,0.0,0.0,0.0
2025-08-29,111216.08479629169,112525.59740669793,111216.08479629169,112525.59740669793,34222495087.206894,0.011774489389774878,0.018520630415613228,111833.8590215499,115808.44306988336,0,0.0,0.0,0.0,0.0,0.0
2025-08-30,112525.59740669793,112525.59740669793,108480.30666639366,108480.30666639366,51702115726.38959,-0.03594996012936935,0.02302644464934188,110850.0106601987,115406.95420659617,0,0.0,0.0,0.0,0.0,0.0
2025-08-31,108480.30666639366,108781.95727925687,108480.30666639366,108781.95727925687,27799981330.792213,0.002780694691349561,0.020419472514557127,110569.33122824921,114882.70581211874,0,0.0,0.0,0.0,0.0,0.0
2025-09-01,108781.95727925687,108781.95727925687,108253.36092385623,108253.36092385623,26140904019.246822,-0.0048592282086233896,0.017963872535683205,109851.46141449928,114356.68387788106,0,0.0,0.0,0.0,0.0,0.0
2025-09-02,108253.36092385623,109162.68557992298,108253.36092385623,109162.68557992298,42999610648.39302,0.008399966969213635,0.01916499876750086,109440.78157122554,113804.69141412561,0,0.0,0.0,0.0,0.0,0.0
2025-09-03,109162.68557992298,111190.18209845416,109162.68557992298,111190.18209845416,50235464642.845955,0.01857316451826163,0.02070520269078191,109173.69850957677,113186.15083725969,0,0.0,0.0,0.0,0.0,0.0
2025-09-04,111190.18209845416,111711.51977725117,111190.18209845416,111711.51977725117,36406080683.42747,0.004688702446187243,0.008570528644428784,109819.94113174829,112851.44703621026,0,0.0,0.0,0.0,0.0,0.0
2025-09-05,111711.51977725117,111711.51977725117,110724.736377486,110724.736377486,38708366685.43147,-0.008833318190754058,0.010892272100895687,110208.4969513941,112520.69425997793,0,0.0,0.0,0.0,0.0,0.0
2025-09-06,110724.736377486,110724.736377486,110662.18112628513,110662.18112628513,56020470627.40665,-0.0005649618436445181,0.010206852375168992,110690.26099187988,112178.7424895947,0,0.0,0.0,0.0,0.0,0.0
2025-09-07,110662.18112628513,110662.18112628513,110209.1888247784,110209.1888247784,19340758702.076332,-0.00409346984576231,0.010523289894386684,110899.56164085097,111812.06008694458,0,0.0,0.0,0.0,0.0,0.0
2025-09-08,110209.1888247784,111131.9923868407,110209.1888247784,111131.9923868407,22147049159.335133,0.008373199838440648,0.006840333323280299,110887.92369852828,111555.83906791615,0,0.0,0.0,0.0,0.0,0.0
2025-09-09,111131.9923868407,112025.12878118771,111131.9923868407,112025.12878118771,37159847899.8603,0.008036717196953314,0.007551479100996363,110950.64549931558,111518.1782651976,0,0.0,0.0,0.0,0.0,0.0
2025-09-10,112025.12878118771,112025.12878118771,111547.43956434788,111547.43956434788,45338021458.38368,-0.004264125576439848,0.006299714909603657,111115.18613668796,111382.9303658173,0,0.0,0.0,0.0,0.0,0.0
2025-09-11,111547.43956434788,113975.32489468766,111547.43956434788,113975.32489468766,52205187155.05567,0.021765495826905124,0.010788360885242458,111777.81489036846,111460.97661688342,0,0.0,0.0,0.0,0.0,0.0
2025-09-12,113975.32489468766,115503.16663193036,113975.32489468766,115503.16663193036,43752917632.95067,0.013405021996247157,0.009467666875540437,112836.61045179886,111394.4224743788,0,0.0,0.0,0.0,0.0,0.0
2025-09-13,115503.16663193036,116160.14344594491,115503.16663193036,116160.14344594491,51192951485.864395,0.005687954998741418,0.009619894268670482,113842.24066361968,111434.43047331867,0,0.0,0.0,0.0,0.0,0.0
2025-09-14,116160.14344594491,116160.14344594491,115970.58488443034,115970.58488443034,30063858747.76022,-0.0016318726534870764,0.010748896510208227,114631.33188426823,111562.98229388271,0,0.0,0.0,0.0,0.0,0.0
2025-09-15,115970.58488443034,115970.58488443034,115373.55555886829,115373.55555886829,26889399414.610912,-0.005148109981138904,0.010985007981619358,115396.55508317231,111822.39234987591,0,0.0,0.0,0.0,0.0,0.0
2025-09-16,115373.55555886829,115397.25272727509,115373.55555886829,115397.25272727509,46947581231.08198,0.00020539514702488937,0.007244198774146247,115680.9406496898,112000.11948660936,0,0.0,0.0,0.0,0.0,0.0
2025-09-17,115397.25272727509,116762.8496864193,115397.25272727509,116762.8496864193,39964451595.099724,0.011833877556614025,0.006663956915366996,115932.8772605876,112277.45773111575,0,0.0,0.0,0.0,0.0,0.0
2025-09-18,116762.8496864193,116762.8496864193,116455.94648225319,116455.94648225319,54740952295.37868,-0.002628431945523202,0.006610091934412069,115992.03786784923,112473.97518489351,0,0.0,0.0,0.0,0.0,0.0
2025-09-19,116455.94648225319,117145.49508952006,116455.94648225319,117145.49508952006,43642467075.25838,0.005921111184923111,0.006852225301037907,116227.01990886717,112907.23460604981,0,0.0,0.0,0.0,0.0,0.0
2025-09-20,117145.49508952006,117145.49508952006,115655.81046441344,115655.81046441344,34296721252.33001,-0.012716533606078717,0.009251934955549743,116283.47088997622,113250.92726530766,0,0.0,0.0,0.0,0.0,0.0
2025-09-21,115655.81046441344,115715.51536781774,115655.81046441344,115715.51536781774,18774953731.290394,0.0005162291731350965,0.009250310793652473,116347.12341808474,113624.03498750573,0,0.0,0.0,0.0,0.0,0.0
2025-09-22,115715.51536781774,115715.51536781774,115304.47999407038,115304.47999407038,18659113982.495464,-0.0035521198038208635,0.006810165888049677,116055.44947961497,113931.1247082131,0,0.0,0.0,0.0,0.0,0.0
2025-09-23,115304.47999407038,115304.47999407038,112696.74101711863,112696.74101711863,69152342029.46799,-0.022616111508294012,0.011297956230189367,115303.60838658805,114006.45265414631,0,0.0,0.0,0.0,0.0,0.0
2025-09-24,112696.74101711863,112696.74101711863,112022.16587861195,112022.16587861195,46154878824.043465,-0.005985755510039215,0.00906161427185535,114278.94254440643,114021.98495921437,0,0.0,0.0,0.0,0.0,0.0
2025-09-25,112022.16587861195,113320.56908541008,112022.16587861195,113320.56908541008,46677543220.334526,0.011590591885226376,0.012391185028671873,113811.89426860577,114151.77659461056,0,0.0,0.0,0.0,0.0,0.0
2025-09-26,113320.56908541008,113320.56908541008,108963.53013595635,108963.53013595635,74481796351.47305,-0.038448791641434665,0.019210017503028816,112461.49722223348,114066.84404509413,0,0.0,0.0,0.0,0.0,0.0
2025-09-27,108963.53013595635,109710.20874667744,108963.53013595635,109710.20874667744,55257214020.568245,0.0068525552521054856,0.02082299597752624,111342.6429727549,114041.89504118907,0,0.0,0.0,0.0,0.0,0.0
2025-09-28,109710.20874667744,109710.20874667744,109654.81021075726,109654.81021075726,23294896964.31016,-0.0005049533361849434,0.019718530695415067,110734.25681148263,113968.0359323849,0,0.0,0.0,0.0,0.0,0.0
2025-09-29,109654.81021075726,112142.57362752674,109654.81021075726,112142.57362752674,31274654338.51212,0.022687225594463012,0.023311084025572602,110758.33836126557,113973.90817470188,0,0.0,0.0,0.0,0.0,0.0
2025-09-30,112142.57362752674,114309.15041119447,112142.57362752674,114309.15041119447,57833295882.65785,0.019319841819074535,0.02446356106832897,110956.05462642244,114111.99371704417,0,0.0,0.0,0.0,0.0,0.0
2025-10-01,114309.15041119447,114309.15041119447,114024.22783550054,114024.22783550054,57718901820.70616,-0.002492561397482218,0.011409702646984064,111968.19416633128,114114.43886408482,0,0.0,0.0,0.0,0.0,0.0
2025-10-02,114024.22783550054,118503.24451752483,114024.22783550054,118503.24451752483,69920179085.4708,0.03928127177047003,0.01740374964312852,113726.80132050076,114264.44275836453,0,0.0,0.0,0.0,0.0,0.0
2025-10-03,118503.24451752483,120611.71911591051,118503.24451752483,120611.71911591051,71252850672.75252,0.01779254742745784,0.01489892192193586,115918.18310153142,114487.02154186282,0,0.0,0.0,0.0,0.0,0.0
2025-10-04,120611.71911591051,121743.81932236713,120611.71911591051,121743.81932236713,128431830272.09164,0.009386320125067016,0.015328130626777112,117838.43224049949,114775.68326375967,19,0.30805263157894736,0.3226,0.4668425422969137,0.5789473684210527,0.15789473684210525
